  (2 2 | 4 4) -> (5|14) -> (29) =   0.78527020313828
  (2 2 | 4 4) -> (5|14) -> (29) =   0.78527020313828
  (2 2 | 4 4) -> (5|14) -> (29) =   0.78527020313828
  (2 2 | 4 4) -> (5|14) -> (29) =   0.78527020313828
  (4 4 | 3 3) -> (14|9) -> (114) =   0.78527020313828
  (4 4 | 3 3) -> (14|9) -> (114) =   0.78527020313828
  (4 4 | 3 3) -> (14|9) -> (114) =   0.78527020313828
  (4 4 | 3 3) -> (14|9) -> (114) =   0.78527020313828
  (3 3 | 4 4) -> (9|14) -> (59) =   0.78527020313828
  (3 3 | 4 4) -> (9|14) -> (59) =   0.78527020313828
  (3 3 | 4 4) -> (9|14) -> (59) =   0.78527020313828
  (3 3 | 4 4) -> (9|14) -> (59) =   0.78527020313828
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (4 4 | 4 4) -> (14|14) -> (119) =   0.88015909337505
  (5 0 | 0 0) -> (15|0) -> (120) =   0.12178534941681
  (0 5 | 0 0) -> (5|0) -> (15) =   0.12178534941681
  (5 0 | 0 0) -> (15|0) -> (120) =   0.12178534941681
  (0 5 | 0 0) -> (5|0) -> (15) =   0.12178534941681
  (0 0 | 5 0) -> (0|15) -> (15) =   0.12178534941681
  (0 0 | 0 5) -> (0|5) -> (5) =   0.12178534941681
  (0 0 | 5 0) -> (0|15) -> (15) =   0.12178534941681
  (0 0 | 0 5) -> (0|5) -> (5) =   0.12178534941681
  (5 1 | 0 0) -> (16|0) -> (136) =   0.31333413320385
  (1 5 | 0 0) -> (6|0) -> (21) =   0.31333413320385
  (5 1 | 0 0) -> (16|0) -> (136) =   0.31333413320385
  (1 5 | 0 0) -> (6|0) -> (21) =   0.31333413320385
  (0 0 | 5 1) -> (0|16) -> (16) =   0.31333413320385
  (0 0 | 1 5) -> (0|6) -> (6) =   0.31333413320385
  (0 0 | 5 1) -> (0|16) -> (16) =   0.31333413320385
  (0 0 | 1 5) -> (0|6) -> (6) =   0.31333413320385
  (5 0 | 1 0) -> (15|1) -> (121) =   0.02230923606265
  (0 5 | 1 0) -> (5|1) -> (16) =   0.02230923606265
  (5 0 | 0 1) -> (15|1) -> (121) =   0.02230923606265
  (0 5 | 0 1) -> (5|1) -> (16) =   0.02230923606265
  (1 0 | 5 0) -> (1|15) -> (16) =   0.02230923606265
  (1 0 | 0 5) -> (1|5) -> (6) =   0.02230923606265
  (0 1 | 5 0) -> (1|15) -> (16) =   0.02230923606265
  (0 1 | 0 5) -> (1|5) -> (6) =   0.02230923606265
  (5 1 | 1 0) -> (16|1) -> (137) =   0.07284010950806
  (1 5 | 1 0) -> (6|1) -> (22) =   0.07284010950806
  (5 1 | 0 1) -> (16|1) -> (137) =   0.07284010950806
  (1 5 | 0 1) -> (6|1) -> (22) =   0.07284010950806
  (1 0 | 5 1) -> (1|16) -> (17) =   0.07284010950806
  (1 0 | 1 5) -> (1|6) -> (7) =   0.07284010950806
  (0 1 | 5 1) -> (1|16) -> (17) =   0.07284010950806
  (0 1 | 1 5) -> (1|6) -> (7) =   0.07284010950806
  (5 0 | 1 1) -> (15|2) -> (122) =   0.04161162230092
  (0 5 | 1 1) -> (5|2) -> (17) =   0.04161162230092
  (5 0 | 1 1) -> (15|2) -> (122) =   0.04161162230092
  (0 5 | 1 1) -> (5|2) -> (17) =   0.04161162230092
  (1 1 | 5 0) -> (2|15) -> (18) =   0.04161162230092
  (1 1 | 0 5) -> (2|5) -> (8) =   0.04161162230092
  (1 1 | 5 0) -> (2|15) -> (18) =   0.04161162230092
  (1 1 | 0 5) -> (2|5) -> (8) =   0.04161162230092
  (5 1 | 1 1) -> (16|2) -> (138) =   0.25888449088412
  (1 5 | 1 1) -> (6|2) -> (23) =   0.25888449088412
  (5 1 | 1 1) -> (16|2) -> (138) =   0.25888449088412
  (1 5 | 1 1) -> (6|2) -> (23) =   0.25888449088412
  (1 1 | 5 1) -> (2|16) -> (19) =   0.25888449088412
  (1 1 | 1 5) -> (2|6) -> (9) =   0.25888449088412
  (1 1 | 5 1) -> (2|16) -> (19) =   0.25888449088412
  (1 1 | 1 5) -> (2|6) -> (9) =   0.25888449088412
  (5 2 | 0 0) -> (17|0) -> (153) =   0.18353857502475
  (2 5 | 0 0) -> (8|0) -> (36) =   0.18353857502475
  (5 2 | 0 0) -> (17|0) -> (153) =   0.18353857502475
  (2 5 | 0 0) -> (8|0) -> (36) =   0.18353857502475
  (0 0 | 5 2) -> (0|17) -> (17) =   0.18353857502475
  (0 0 | 2 5) -> (0|8) -> (8) =   0.18353857502475
  (0 0 | 5 2) -> (0|17) -> (17) =   0.18353857502475
  (0 0 | 2 5) -> (0|8) -> (8) =   0.18353857502475
